,id,district,division,bureau
192,193,1D,1D,PSB
193,194,5D,5D,PSB
194,195,6D,6D,PSB
195,196,6D,6D,PSB
196,197,4D,4D,PSB
197,198,2D,2D,PSB
198,199,1D,RCPD,
199,200,1D,1D,PSB
200,201,1D,1D,PSB
201,202,6D,6D,PSB
202,203,6D,6D,PSB
203,204,4D,4D,PSB
204,205,3D,3D,PSB
205,206,5D,5D,PSB
206,207,6D,,
207,208,6D,GPD,
208,209,4D,4D,PSB
209,210,6D,6D,PSB
210,211,3D,3D,PSB
211,212,5D,5D,PSB
212,213,3D,3D,PSB
213,214,3D,3D,PSB
214,215,6D,6D,PSB
215,216,2D,2D,PSB
216,217,5D,5D,PSB
217,218,6D,,
218,219,8D,TP,
219,220,5D,MCSO,
220,221,4D,4D,PSB
221,222,8D,TP,
222,223,6D,6D,PSB
223,224,4D,4D,PSB
224,225,1D,RCPD,
225,226,4D,4D,PSB
226,227,5D,5D,PSB
227,228,3D,3D,PSB
228,229,6D,6D,PSB
229,230,3D,3D,PSB
230,231,2D,2D,PSB
231,232,4D,4D,PSB
232,233,4D,4D,PSB
233,234,4D,4D,PSB
234,235,5D,5D,PSB
235,236,1D,RCPD,
236,237,2D,2D,PSB
237,238,6D,,
238,239,1D,RCP,
239,240,6D,,
240,241,3D,3D,PSB
241,242,6D,6D,PSB
242,243,3D,3D,PSB
243,244,6D,6D,PSB
244,245,4D,1D,PSB
245,246,4D,4D,PSB
246,247,4D,IMTD,MSB
247,248,3D,3D,PSB
248,249,5D,5D,PSB
249,250,3D,3D,PSB
250,251,4D,4D,PSB
251,252,4D,IMTD,MSB
252,253,4D,4D,PSB
253,254,4D,4D,PSB
254,255,1D,RPD,
255,256,4D,4D,PSB
256,257,6D,GPD,
257,258,2D,2D,PSB
258,259,6D,6D,PSB
259,260,5D,5D,PSB
260,261,3D,3D,PSB
261,262,4D,4D,PSB
262,263,4D,4D,PSB
263,264,1D,,
264,265,3D,3D,PSB
265,266,6D,6D,PSB
266,267,3D,3D,PSB
267,268,3D,3D,PSB
268,269,4D,4D,PSB
269,270,5D,5D,PSB
270,271,6D,GPD,
271,272,6D,6D,PSB
272,273,4D,4D,PSB
273,274,3D,3D,PSB
274,275,5D,5D,PSB
275,276,4D,4D,PSB
276,277,6D,6D,PSB
277,278,3D,3D,PSB
278,279,6D,,
279,280,3D,3D,PSB
280,281,6D,6D,PSB
281,282,3D,3D,PSB
282,283,6D,6D,PSB
283,284,1D,RCPD,
284,285,4D,4D,PSB
285,286,3D,3D,PSB
286,287,3D,3D,PSB
287,288,2D,2D,PSB
288,289,3D,3D,PSB
289,290,6D,6D,PSB
290,291,6D,6D,PSB
291,292,4D,4D,PSB
292,293,3D,3D,PSB
293,294,6D,6D,PSB
294,295,6D,6D,PSB
295,296,1D,1D,PSB
296,297,4D,4D,PSB
297,298,3D,,
298,299,3D,3D,PSB
299,300,3D,3D,PSB
300,301,6D,GPD,
301,302,5D,5D,PSB
302,303,6D,6D,PSB
303,304,3D,3D,PSB
304,305,3D,3D,PSB
305,306,4D,4D,PSB
306,307,5D,5D,PSB
307,308,5D,MCSO,
308,309,6D,GPD,
309,310,3D,3D,PSB
310,311,1D,,
311,312,3D,3D,PSB
312,313,3D,3D,PSB
313,314,4D,4D,PSB
314,315,3D,3D,PSB
315,316,3D,3D,PSB
316,317,1D,1D,PSB
317,318,1D,RPD,
318,319,8D,TPPD,
319,320,8D,,
320,321,6D,6D,PSB
321,322,4D,4D,PSB
322,323,3D,3D,PSB
323,324,6D,,
324,325,2D,2D,PSB
325,326,6D,6D,PSB
326,327,5D,5D,PSB
327,328,2D,2D,PSB
328,329,5D,5D,PSB
329,330,4D,4D,PSB
330,331,2D,MCSO,
331,332,5D,5D,PSB
332,333,2D,MCSO,
333,334,2D,2D,PSB
334,335,6D,6D,PSB
335,336,4D,4D,PSB
336,337,8D,,
337,338,4D,4D,PSB
338,339,1D,RCPD,
339,340,1D,1D,PSB
340,341,5D,5D,PSB
341,342,6D,GPD,
342,343,6D,,
343,344,3D,3D,PSB
344,345,6D,6D,PSB
345,346,4D,4D,PSB
346,347,1D,,
347,348,4D,4D,PSB
348,349,2D,2D,PSB
349,350,3D,3D,PSB
350,351,1D,RCPD,
351,352,3D,3D,PSB
352,353,6D,6D,PSB
353,354,3D,3D,PSB
354,355,6D,6D,PSB
355,356,4D,4D,PSB
356,357,4D,4D,PSB
357,358,6D,6D,PSB
358,359,5D,5D,PSB
359,360,3D,3D,PSB
360,361,5D,5D,PSB
361,362,6D,6D,PSB
362,363,6D,6D,PSB
363,364,2D,2D,PSB
364,365,1D,,
365,366,1D,MCSO,
366,367,3D,3D,PSB
367,368,6D,,
368,369,6D,GPD,
369,370,3D,3D,PSB
370,371,2D,2D,PSB
371,372,4D,4D,PSB
372,373,2D,2D,PSB
373,374,2D,2D,PSB
374,375,3D,3D,PSB
375,376,4D,4D,PSB
376,377,3D,3D,PSB
377,378,1D,1D,PSB
378,379,1D,RCPD,
379,380,4D,4D,PSB
380,381,6D,6D,PSB
381,382,2D,2D,PSB
382,383,6D,6D,PSB
383,384,1D,RCPD,
384,385,2D,2D,PSB
385,386,3D,3D,PSB
386,387,5D,5D,PSB
387,388,5D,5D,PSB
388,389,5D,5D,PSB
389,390,2D,2D,PSB
390,391,5D,5D,PSB
391,392,6D,6D,PSB
392,393,5D,5D,PSB
393,394,3D,3D,PSB
394,395,6D,,
395,396,5D,5D,PSB
396,397,6D,,
397,398,2D,CED,FSB
398,399,1D,RPD,
399,400,3D,3D,PSB
400,401,3D,3D,PSB
401,402,5D,5D,PSB
402,403,4D,4D,PSB
403,404,3D,3D,PSB
404,405,3D,3D,PSB
405,406,5D,5D,PSB
406,407,6D,6D,PSB
407,408,6D,,
408,409,1D,1D,PSB
409,410,5D,5D,PSB
410,411,3D,3D,PSB
411,412,3D,3D,PSB
412,413,2D,2D,PSB
413,414,4D,4D,PSB
414,415,2D,2D,PSB
415,416,4D,4D,PSB
416,417,4D,4D,PSB
417,418,4D,4D,PSB
418,419,4D,4D,PSB
419,420,4D,4D,PSB
420,421,2D,2D,PSB
421,422,6D,6D,PSB
422,423,3D,3D,PSB
423,424,3D,3D,PSB
424,425,3D,3D,PSB
425,426,6D,6D,PSB
426,427,3D,3D,PSB
427,428,6D,6D,PSB
428,429,5D,5D,PSB
429,430,3D,3D,PSB
430,431,3D,3D,PSB
431,432,4D,4D,PSB
432,433,4D,4D,PSB
433,434,8D,,
434,435,3D,3D,PSB
435,436,1D,1D,PSB
436,437,6D,6D,PSB
437,438,4D,4D,PSB
438,439,1D,1D,PSB
439,440,3D,3D,PSB
440,441,1D,1D,PSB
441,442,5D,5D,PSB
442,443,3D,3D,PSB
443,444,2D,2D,PSB
444,445,6D,6D,PSB
445,446,1D,RPD,
446,447,2D,MCSO,
447,448,5D,5D,PSB
448,449,4D,4D,PSB
449,450,3D,3D,PSB
450,451,4D,4D,PSB
451,452,6D,,
452,453,5D,5D,PSB
453,454,2D,2D,PSB
454,455,6D,6D,PSB
455,456,3D,3D,PSB
456,457,3D,3D,PSB
457,458,5D,5D,PSB
458,459,8D,,
459,460,3D,3D,PSB
460,461,2D,2D,PSB
461,462,1D,1D,PSB
462,463,6D,GPD,
463,464,5D,5D,PSB
464,465,3D,3D,PSB
465,466,8D,,
466,467,6D,6D,PSB
467,468,3D,3D,PSB
468,469,6D,6D,PSB
469,470,4D,4D,PSB
470,471,4D,4D,PSB
471,472,3D,3D,PSB
472,473,3D,3D,PSB
473,474,3D,3D,PSB
474,475,4D,4D,PSB
475,476,4D,4D,PSB
476,477,3D,3D,PSB
477,478,6D,6D,PSB
478,479,2D,2D,PSB
479,480,5D,5D,PSB
480,481,2D,2D,PSB
481,482,4D,4D,PSB
482,483,5D,5D,PSB
483,484,3D,3D,PSB
484,485,3D,3D,PSB
485,486,2D,2D,PSB
486,487,5D,5D,PSB
487,488,4D,4D,PSB
488,489,1D,,
489,490,3D,3D,PSB
490,491,5D,5D,PSB
491,492,6D,GPD,
492,493,6D,,
493,494,3D,3D,PSB
494,495,3D,3D,PSB
495,496,4D,4D,PSB
496,497,6D,,
497,498,6D,GPD,
498,499,6D,6D,PSB
499,500,3D,3D,PSB
500,501,1D,RCPD,
501,502,6D,6D,PSB
502,503,4D,4D,PSB
503,504,4D,4D,PSB
504,505,6D,6D,PSB
