,id,race,gender,age,ethnicity,district,division,bureau
80,81,White,Female,47,HISPANIC,3,3D,PSB
81,82,Black/African American,Male,32,NON-HISPANIC,4,4D,PSB
82,83,Black/African American,Male,32,NON-HISPANIC,4,4D,PSB
83,84,Black/African American,Male,34,NON-HISPANIC,6,6D,PSB
84,85,White,Male,58,NON-HISPANIC,3,3D,PSB
85,86,White,Male,41,HISPANIC,4,4D,PSB
86,87,Black/African American,Male,27,NON-HISPANIC,5,5D,PSB
87,88,Black/African American,Male,27,NON-HISPANIC,1,RCPD,
88,89,Black/African American,Male,32,NON-HISPANIC,5,5D,PSB
89,90,Black/African American,Female,19,NON-HISPANIC,4,4D,PSB
90,91,White,Female,18,NON-HISPANIC,2,TOD,FSB
91,92,Black/African American,Male,30,NON-HISPANIC,4,4D,PSB
92,93,White,Male,35,HISPANIC,4,4D,PSB
93,94,White,Male,35,HISPANIC,4,4D,PSB
94,95,Black/African American,Male,26,NON-HISPANIC,4,4D,PSB
95,96,White,Male,35,HISPANIC,4,4D,PSB
96,97,Asian,Female,54,NON-HISPANIC,2,TOD,FSB
97,98,White,Male,43,HISPANIC,4,4D,PSB
98,99,White,Male,43,HISPANIC,4,4D,PSB
99,100,White,Male,43,HISPANIC,4,4D,PSB
100,101,White,Male,43,HISPANIC,4,4D,PSB
101,102,White,Male,43,HISPANIC,4,4D,PSB
102,103,White,Male,44,HISPANIC,4,4D,PSB
103,104,White,Male,44,HISPANIC,4,4D,PSB
104,105,White,Male,45,HISPANIC,4,4D,PSB
105,106,White,Male,45,HISPANIC,4,4D,PSB
106,107,White,Male,45,HISPANIC,4,4D,PSB
107,108,Black/African American,Male,26,NON-HISPANIC,5,5D,PSB
108,109,White,Male,57,HISPANIC,4,4D,PSB
109,110,Black/African American,Female,19,NON-HISPANIC,4,4D,PSB
110,111,Unknown,Male,41,HISPANIC,4,4D,PSB
111,112,Black/African American,Male,45,NON-HISPANIC,4,4D,PSB
112,113,White,Male,58,HISPANIC,4,4D,PSB
113,114,White,Female,22,HISPANIC,3,3D,PSB
114,115,Black/African American,Male,40,NON-HISPANIC,3,3D,PSB
115,116,Black/African American,Male,40,NON-HISPANIC,3,3D,PSB
116,117,White,Male,54,NON-HISPANIC,4,4D,PSB
117,118,White,Male,39,HISPANIC,1,RCPD,
118,119,White,Male,26,HISPANIC,4,4D,PSB
119,120,White,Male,38,HISPANIC,1,RCPD,
120,121,White,Male,38,HISPANIC,4,4D,PSB
121,122,White,Male,25,NON-HISPANIC,6,TOD,FSB
122,123,White,Male,54,HISPANIC,4,4D,PSB
123,124,White,Male,36,HISPANIC,4,4D,PSB
124,125,White,Male,61,HISPANIC,4,4D,PSB
125,126,White,Male,25,HISPANIC,4,4D,PSB
126,127,White,Male,25,HISPANIC,4,4D,PSB
127,128,White,Male,39,HISPANIC,1,RCPD,
128,129,White,Female,17,HISPANIC,4,4D,PSB
129,130,Black/African American,Male,34,NON-HISPANIC,4,4D,PSB
130,131,White,Male,52,HISPANIC,4,4D,PSB
131,132,White,Male,52,NON-HISPANIC,4,4D,PSB
132,133,White,Male,36,HISPANIC,8,TPPD,
133,134,White,Male,26,HISPANIC,4,4D,PSB
134,135,Black/African American,Male,42,NON-HISPANIC,5,5D,PSB
135,136,White,Male,35,HISPANIC,4,4D,PSB
136,137,White,Female,20,HISPANIC,6,GPD,
137,138,White,Female,47,NON-HISPANIC,2,2D,PSB
138,139,White,Male,29,HISPANIC,3,3D,PSB
139,140,White,Female,17,NON-HISPANIC,3,3D,PSB
140,141,White,Female,45,HISPANIC,3,3D,PSB
141,142,White,Male,57,HISPANIC,4,4D,PSB
142,143,Black/African American,Female,55,NON-HISPANIC,4,CED,FSB
143,144,Black/African American,Male,25,NON-HISPANIC,5,5D,PSB
144,145,Black/African American,Male,38,NON-HISPANIC,4,4D,PSB
145,146,White,Male,56,HISPANIC,4,4D,PSB
146,147,Black/African American,Female,27,NON-HISPANIC,5,5D,PSB
147,148,White,Male,40,HISPANIC,3,3D,PSB
148,149,White,Male,21,HISPANIC,3,3D,PSB
149,150,White,Female,14,HISPANIC,3,3D,PSB
150,151,White,Female,19,HISPANIC,6,GPD,
151,152,Black/African American,Female,22,NON-HISPANIC,5,TOD,FSB
152,153,White,Male,20,NON-HISPANIC,4,4D,PSB
153,154,White,Male,21,HISPANIC,4,4D,PSB
154,155,White,Male,21,HISPANIC,4,4D,PSB
155,156,White,Male,31,NON-HISPANIC,2,TOD,FSB
156,157,White,Male,25,HISPANIC,4,4D,PSB
157,158,Asian,Male,58,NON-HISPANIC,5,TOD,FSB
158,159,White,Male,25,HISPANIC,4,4D,PSB
159,160,Black/African American,Male,43,NON-HISPANIC,4,4D,PSB
160,161,White,Female,25,HISPANIC,6,TOD,FSB
161,162,White,Female,22,HISPANIC,4,4D,PSB
162,163,White,Male,23,HISPANIC,2,TOD,FSB
163,164,White,Male,50,HISPANIC,4,4D,PSB
164,165,White,Male,40,HISPANIC,3,3D,PSB
165,166,White,Male,26,HISPANIC,4,4D,PSB
166,167,White,Male,40,HISPANIC,4,4D,PSB
167,168,White,Female,17,HISPANIC,3,3D,PSB
168,169,White,Male,34,HISPANIC,4,4D,PSB
169,170,White,Male,21,NON-HISPANIC,5,5D,PSB
170,171,White,Male,27,HISPANIC,4,4D,PSB
171,172,White,Male,34,HISPANIC,4,4D,PSB
172,173,White,Male,34,HISPANIC,4,4D,PSB
173,174,Black/African American,Female,25,NON-HISPANIC,1,RCPD,
174,175,White,Male,44,HISPANIC,1,RCPD,
175,176,Black/African American,Male,24,NON-HISPANIC,2,TOD,FSB
176,177,White,Male,39,NON-HISPANIC,4,4D,PSB
177,178,White,Male,00,HISPANIC,4,CED,FSB
178,179,White,Male,25,HISPANIC,4,4D,PSB
179,180,White,Male,27,HISPANIC,4,4D,PSB
180,181,White,Male,27,HISPANIC,4,4D,PSB
181,182,White,Male,47,NON-HISPANIC,4,4D,PSB
182,183,Black/African American,Female,17,NON-HISPANIC,3,3D,PSB
183,184,White,Male,44,HISPANIC,6,6D,PSB
184,185,Black/African American,Male,18,NON-HISPANIC,3,3D,PSB
185,186,Black/African American,Male,35,NON-HISPANIC,4,4D,PSB
186,187,White,Male,41,HISPANIC,1,RCPD,
187,188,White,Male,23,HISPANIC,4,4D,PSB
188,189,White,Male,59,NON-HISPANIC,1,RCPD,
189,190,White,Male,19,NON-HISPANIC,5,5D,PSB
190,191,White,Male,20,HISPANIC,6,TOD,FSB
191,192,White,Male,32,HISPANIC,3,3D,PSB
192,193,Black/African American,Male,52,NON-HISPANIC,2,2D,PSB
193,194,Asian,Male,25,NON-HISPANIC,6,TOD,FSB
194,195,White,Male,19,HISPANIC,4,4D,PSB
195,196,White,Male,54,HISPANIC,4,4D,PSB
196,197,White,Male,19,HISPANIC,5,5D,PSB
197,198,White,Female,31,NON-HISPANIC,2,TOD,FSB
198,199,Black/African American,Female,45,NON-HISPANIC,6,6D,PSB
199,200,Black/African American,Female,27,NON-HISPANIC,5,5D,PSB
200,201,Black/African American,Male,36,NON-HISPANIC,2,TOD,FSB
201,202,White,Male,25,HISPANIC,4,4D,PSB
202,203,Black/African American,Male,37,NON-HISPANIC,4,4D,PSB
203,204,White,Male,47,HISPANIC,4,4D,PSB
204,205,White,Male,36,HISPANIC,4,4D,PSB
205,206,White,Male,73,HISPANIC,4,4D,PSB
206,207,Black/African American,Male,23,NON-HISPANIC,2,TOD,FSB
207,208,White,Male,57,HISPANIC,4,4D,PSB
208,209,Black/African American,Male,57,NON-HISPANIC,3,3D,PSB
209,210,Black/African American,Male,57,NON-HISPANIC,3,3D,PSB
210,211,White,Male,23,HISPANIC,1,RCPD,
211,212,White,Male,34,HISPANIC,4,4D,PSB
212,213,Black/African American,Female,20,NON-HISPANIC,2,TOD,FSB
213,214,White,Male,47,HISPANIC,4,4D,PSB
214,215,White,Male,57,NON-HISPANIC,4,4D,PSB
215,216,White,Male,57,NON-HISPANIC,4,4D,PSB
216,217,White,Male,57,NON-HISPANIC,4,4D,PSB
217,218,White,Male,58,NON-HISPANIC,4,4D,PSB
218,219,White,Male,29,HISPANIC,1,RCPD,
219,220,White,Male,29,HISPANIC,1,RCPD,
220,221,White,Male,30,HISPANIC,1,RCPD,
221,222,White,Male,30,HISPANIC,1,RCPD,
222,223,White,Male,48,HISPANIC,4,4D,PSB
223,224,White,Male,49,HISPANIC,4,4D,PSB
224,225,White,Male,18,HISPANIC,4,4D,PSB
225,226,White,Male,32,HISPANIC,1,P,PSB
226,227,White,Male,33,HISPANIC,6,6D,PSB
227,228,Black/African American,Male,43,NON-HISPANIC,4,4D,PSB
228,229,White,Male,39,NON-HISPANIC,4,4D,PSB
229,230,White,Male,40,NON-HISPANIC,4,4D,PSB
230,231,Black/African American,Male,33,NON-HISPANIC,4,4D,PSB
231,232,White,Male,19,NON-HISPANIC,5,5D,PSB
232,233,White,Male,31,NON-HISPANIC,5,TOD,FSB
233,234,White,Male,19,HISPANIC,4,4D,PSB
234,235,Unknown,Female,17,NON-HISPANIC,2,2D,PSB
235,236,White,Male,39,NON-HISPANIC,4,4D,PSB
236,237,White,Male,39,NON-HISPANIC,4,4D,PSB
237,238,White,Female,17,NON-HISPANIC,5,5D,PSB
238,239,White,Female,56,NON-HISPANIC,5,5D,PSB
239,240,Black/African American,Male,41,NON-HISPANIC,3,4D,PSB
240,241,Asian,Male,44,NON-HISPANIC,6,TOD,FSB
241,242,White,Male,35,NON-HISPANIC,4,4D,PSB
242,243,White,Male,51,NON-HISPANIC,4,4D,PSB
243,244,White,Male,17,NON-HISPANIC,5,5D,PSB
244,245,Black/African American,Female,39,NON-HISPANIC,4,4D,PSB
245,246,White,Male,44,HISPANIC,1,RCPD,
246,247,White,Male,23,NON-HISPANIC,3,5D,PSB
247,248,White,Male,22,NON-HISPANIC,3,5D,PSB
248,249,White,Male,29,NON-HISPANIC,3,5D,PSB
249,250,Black/African American,Male,24,NON-HISPANIC,5,5D,PSB
250,251,White,Male,42,HISPANIC,3,3D,PSB
251,252,Unknown,Male,41,HISPANIC,3,3D,PSB
252,253,Asian,Male,17,NON-HISPANIC,3,3D,PSB
253,254,White,Male,32,HISPANIC,4,4D,PSB
254,255,White,Male,42,HISPANIC,6,TOD,FSB
255,256,White,Male,28,NON-HISPANIC,6,TOD,FSB
256,257,White,Female,28,NON-HISPANIC,6,TOD,FSB
257,258,Black/African American,Female,18,NON-HISPANIC,2,TOD,FSB
258,259,Black/African American,Male,32,NON-HISPANIC,4,4D,PSB
259,260,White,Female,22,HISPANIC,2,TOD,FSB
260,261,White,Female,18,HISPANIC,2,TOD,FSB
